sub_mono,cover,sub_doble,sub_doble_intermitente,directo_cantar,trend,encoded_color,encoded_light,likes,views,comments,saved,compartidos
0,1,1,0,0,1,0,2,39100.959483150385,281499.7079346456,23.264183862599126,837.7738908214748,14399.992483400987
1,1,1,0,1,0,0,0,687.5522284596502,1400000.2572796112,225.57342729969062,302.5202905774619,541.6266538953757
1,1,0,0,1,0,0,1,31601.940187990615,8971.520898332747,23.12771948603216,2506.9555681435418,-0.9582900958807132
0,1,1,0,0,1,0,2,687.0227346358433,143299.03071308657,20.63959911878524,41198.408696176884,2049.240871622086
1,1,1,0,0,0,0,2,35899.83097657284,3589.6836550571206,226.10722429015019,6265.628962906106,242.80742661781798
0,1,1,0,0,1,0,2,2906.2643594628516,107301.5789179885,225.31166844504753,97998.59392008126,46.392902245463425
1,0,0,0,0,1,0,0,29700.29590679649,296899.6473316359,1463.127215114019,2249.18490415078,68.57227512558018
0,1,1,0,0,1,0,2,14401.457206842508,296901.38964059216,1520.4746642754533,304.062635744833,2047.6294731844387
1,1,0,0,1,0,2,1,31598.560110331848,8972.283477219422,113.94701773355688,222.4851663824249,68.52252555317308
0,1,1,0,0,1,0,2,2906.4867261337668,718300.601206989,114.2295637070087,2506.107475422937,459.3438356235879
0,1,1,0,0,1,0,2,201399.95506571175,281502.6599192587,32.748718217499714,35498.95056752927,-1.2199656322491983
1,1,0,0,1,0,1,1,201399.53659872824,777000.1715872291,1521.0401635680826,6136.532604253257,241.33374047674266
0,0,1,0,0,0,2,2,7371.920912332314,58101.35536320122,346.4085141308149,49.551781882333444,540.7439268283476
1,0,0,0,0,1,0,0,151998.97560698673,777000.1283719158,40.43819892605968,2506.3413537088463,1357.6447541423486
1,0,1,0,0,0,0,2,686.9340319958683,296902.4209739727,114.6476235708145,300.5913767826645,5038.196971005458
0,1,0,0,0,0,0,0,152001.62997492158,1400000.5372423497,1332.3411463573727,303.41331785575414,259.7476116761665
0,0,1,0,0,0,2,2,556900.5523110165,198799.63374834275,22.93100513589453,6136.671068576778,333.25945372818006
1,0,0,1,1,0,0,2,687.4017093659027,26500.036708557775,1521.9105762914448,6136.692868450285,2508.6273786494744
1,0,0,1,1,0,0,2,2907.485683612747,3400000.852950352,39.26322645378725,220.9621471602667,1358.611850399902
1,1,0,0,1,0,2,1,14401.659992119035,203199.92858988006,22.41442679044023,28499.839444986705,334.32909739535285
1,0,0,0,0,1,0,2,686.5679612572819,26500.97801689378,95.26101274511845,8410.459135085166,260.1903010449618
1,1,1,0,0,0,0,2,6811.73405538905,58100.89369663613,95.47387287645533,3675.008087157973,50.34196035739292
0,1,1,0,1,1,0,2,685.4895271423371,296902.12359031633,114.00712770011553,1551.3480413314808,242.63495427662542
1,1,0,0,1,0,0,1,4645.650186219765,58400.97932904272,1332.3474301408166,837.1764314885276,2507.2610754303537
1,1,0,0,1,0,2,1,16000.930141725494,58398.83178763904,114.70199042231187,304.06007404710226,-0.7017165341775254
1,0,0,1,1,0,0,2,687.1953543586477,1000001.338839018,21.35996895834237,43.97298243101645,541.5045371242282
1,1,0,1,0,0,0,2,31602.51651465518,2678.727691919045,1464.1782363415516,2504.278394168557,68.16354113243035
1,0,0,0,0,1,0,2,126699.3467892747,203199.16899101817,685.1066422886836,300.79409243904826,486.4793696855051
0,0,1,1,0,1,0,2,8661.8644785957,718300.661014306,114.68557903074883,2507.364462775609,542.3076420616246
0,0,1,0,1,0,0,2,14402.618356332523,8973.985480598647,227.20216151695988,302.8798264291871,3.45166541414829
0,1,1,0,0,1,0,2,126699.5880653108,67900.04192995702,95.94496380285463,6136.020902486939,541.5414182741378
1,1,1,0,0,1,0,2,14398.443320839286,45999.228929242236,17.955629794388653,28499.090441342967,240.50469804066006
1,1,0,1,0,0,0,2,688.3903822395829,281501.3715768954,1333.4221440928004,504.891280450068,2505.3276279900247
0,1,1,0,0,1,0,2,201400.8897150628,2679.4217907024663,225.863957438657,28500.056523243744,49.4550693839889
1,1,1,0,0,0,0,2,683.8330022924738,776998.6201312261,113.55470523140524,1550.6611009869907,957.4132673930748
1,0,0,0,0,0,0,2,6811.623318140593,2678.989277154541,64.53761022273005,48.66538844061266,542.1861526035894
0,1,1,0,1,1,0,2,2907.01673498428,718299.4150472492,115.24818504358737,3675.910607035872,9560.281898401865
1,1,0,0,1,0,1,1,7371.49325612366,58100.472750309906,114.14370262545465,2507.4048847198114,49.46482025491458
1,0,0,0,0,1,0,2,67099.46930712122,1399998.9039474523,114.50019646547086,50.09398985066238,70.02165755829
0,1,1,0,0,0,0,2,7371.380711560937,6104.090076144499,31.167579112047193,6266.0345487108125,239.65397400369807
1,1,1,0,0,0,0,2,151999.03644341108,58099.2549085829,94.4507683328834,302.76395364985103,14400.533312437075
1,1,0,0,1,1,0,2,687.1456008671561,45997.512818059105,1464.4706903660401,47.1979585089929,241.46494601156724
1,1,0,0,1,0,0,1,2906.888998203097,2678.881330056653,225.00369793822142,303.5200459565159,2045.2513899974376
1,0,0,0,0,0,0,1,688.2229800994832,46000.08799053916,17.40403838537844,47.48216513215293,-0.7709378790031012
0,0,1,0,0,0,2,2,14404.693422406028,303399.05724841694,226.42166023059812,18498.562474444785,240.43836012915926
0,0,1,1,0,1,0,2,177.98856555086178,26500.347210380485,114.15616368293483,2507.842275262373,2508.708967273156
0,1,1,0,0,1,0,2,6810.920222534957,1000001.4339121461,9.479289015917438,48.32283675017221,241.57853440923913
1,1,0,0,1,0,2,1,2652.562367154811,58101.81279405013,224.69752402989928,2506.2345830207128,958.422563968865
1,0,0,0,0,1,0,2,170899.6900886736,281501.34171344945,1519.2581702328491,303.26992859157025,260.9810842851769
1,0,1,0,0,0,0,2,14401.279217207379,777000.1865662175,190.49689229136763,28501.539606649803,457.0068472410109
1,1,1,0,1,0,0,0,7370.849201220274,1399999.7747376042,190.35007465273247,28498.90558409442,542.401992208547
1,1,0,1,0,0,0,2,31598.7533930003,107299.13720558936,113.71456432247993,505.90012033419043,460.1691012476081
0,0,1,0,0,0,0,2,6811.607115971321,303399.331065583,224.8080154639841,2507.919679700961,5037.823897460081
0,0,1,1,0,0,0,2,688.7385063355424,8973.453087986996,189.13400500031545,43.79170881149235,240.5775541195116
0,0,1,1,0,1,0,2,4645.995588440293,281500.3605474024,32.37886504683132,28499.13786395372,50.673334589192535
0,0,1,0,0,0,2,2,687.8277426697188,58400.799935441464,115.32587566135712,47.15909710981687,2505.587550737424
1,1,0,0,1,0,0,1,686.384463504042,296901.80136462086,114.11169446382374,1551.2846553231018,240.05696507367495
1,0,0,0,0,1,0,2,15999.7727431182,46001.462266255345,685.9376195838385,6268.228834370601,-0.20373673760438815
0,1,1,0,0,1,0,2,4645.378789071612,746098.7715657355,39.8720743409185,223.47807496144327,3.0365833317794255
1,0,0,1,1,0,0,2,110000.35296849103,303400.6286347008,94.09707049717127,48.463715452019294,333.72513552488545
1,1,1,0,0,1,0,2,4646.400781069173,8971.08031812282,65.68549337432704,48.725411834378576,45.18205597702777
0,0,1,1,0,0,0,2,31601.035433490713,58102.38474121268,114.68065519102534,302.07475558564545,68.19418030522479
1,0,0,0,0,1,0,2,35899.520438603926,1000000.718476994,650.6988412458576,2506.719776930685,458.07473715469257
1,0,0,0,0,1,0,0,688.3404105035256,67900.47260939181,31.49757919299863,28498.35565119649,70.46468739852449
1,0,1,0,0,0,0,2,14398.623664619729,6107.5759389996665,1522.736952599235,838.1264613702792,239.0483097722874
0,0,1,0,0,0,2,2,684.212163756655,67900.12428089326,31.539132376534965,3678.2149949989725,239.32165021264555
0,1,1,0,1,1,0,2,29698.420544131,2679.3140821884126,23.97667325210768,16.29421701078728,2050.501830615608
0,1,0,0,0,0,0,0,31601.22550597676,8971.73535385437,1521.4960246724474,21299.19808820572,6953.2933832406625
1,1,0,0,1,0,0,1,2905.3663893249563,58400.32646059647,4.3383114525663,300.4764863771443,0.261121575298214
1,1,0,0,1,1,0,2,689.0380181695559,45998.777593230305,1520.5643863263758,47.52093109586914,53.25565085815465
1,1,0,0,1,0,1,1,6810.8595940183195,58400.03565217086,18.56447750150489,46.29343270607813,542.1192841321229
0,0,1,1,0,1,0,2,8660.76636519328,26500.173195718788,188.58251107954445,6137.934334793232,458.24339117740357
1,0,0,1,1,0,0,2,35900.930394617215,8972.199166346303,227.43541120808007,222.81217324965962,66.59591263838881
0,1,1,0,0,0,0,2,170899.85737224593,67901.02165092854,225.61177913997363,728.8404532463858,259.8950576171809
1,1,1,0,0,0,0,2,2906.55248171823,45999.35756488412,3.6194552157804925,6136.729536227006,6952.740794696788
1,1,0,0,1,1,0,0,6811.093678635921,67901.02237588013,64.96216576737417,1551.75792217992,334.33593854896833
0,1,1,0,1,1,0,2,686.037250470807,296902.6829267782,66.4034466704506,6267.837715500003,45.70658982297571
0,0,1,0,1,0,0,2,170899.49833415018,2677.4362729885647,845.117431666691,223.10730875438927,6.420378065545332
1,1,1,0,0,0,0,2,29698.643820916266,1399999.6673199162,1521.6036344451543,504.5416042563117,243.47510710510105
1,0,0,1,1,0,0,2,110000.03191410133,8971.44994831389,683.2932595262116,49.406401989232855,5037.280712761753
1,0,0,0,0,1,0,0,687.0334429707357,107298.26887521401,1332.630508049649,2506.5191966257926,238.384817817163
0,1,0,0,0,0,0,0,4644.8588904042535,58098.48084517389,33.28725023739154,28500.356238126205,239.79906649598706
1,1,1,0,0,0,0,2,14401.840567572695,58398.36660846632,1521.366624090199,1787.8061531312485,458.0262591412019
1,1,0,0,1,0,1,1,6814.507390338111,1000002.3242220558,147.08640590700972,28501.857488959504,42.42526109668147
0,0,1,0,0,0,0,2,8662.804192107575,58397.70918051338,684.9866149458248,25101.11580412216,-1.357766875995572
1,1,0,0,1,0,1,1,170897.6945503297,303401.2504530288,1520.6588512500095,302.7238313118181,6951.888792108635
1,0,0,0,0,0,0,1,688.7784473183567,8970.19901756174,302.41468501873555,302.76678126588706,46.502470243061154
0,1,1,0,0,1,0,2,2907.7066289379827,8973.275478136442,1332.1947178535816,8412.126811819968,334.17930829024425
0,1,1,0,0,1,0,2,4645.50646970423,281498.8176745798,1.9186561351385099,6268.0411025776,238.18631448045915
0,0,1,0,0,0,2,2,14400.494182106406,3588.5699721470673,23.164368047183,299.08022151648356,540.9366253975728
0,0,1,1,0,1,0,2,687.5622625357946,26496.777210332177,10.834946693074436,28498.232567818493,241.3739062523576
0,1,1,0,0,1,0,2,170900.1985084395,58100.64707540738,10.344060165213946,304.99316397635323,956.1335995750081
1,1,0,0,1,1,0,0,31602.003190957905,45997.41913773101,24.19315374331086,28500.18868524717,51.59138687115139
1,1,0,0,1,0,1,1,152000.63794235437,6106.344487144383,1519.8033510270684,6136.14443279792,241.772752725338
0,0,1,1,0,1,0,2,688.8828199846834,58102.210332321556,66.68069738275462,28500.73869215879,238.55162991670767
0,0,1,1,0,1,0,2,35899.14218010795,777002.1179391405,301.65841263901706,299.85646306227255,46.06118009441411
1,0,0,0,0,0,0,2,39101.374234865114,58397.96660469721,225.6347578545136,6265.529590954892,541.4558197268594
1,1,1,0,0,0,0,2,14400.802529156834,67902.61456635212,113.02589347547809,303.21703718415387,241.06986079946367
1,1,1,0,0,0,0,2,686.610462152046,1399999.7740934228,147.45742848895623,2822.4305251295373,44.562216634514044
0,1,1,0,0,0,0,2,70199.4366295086,303399.15980853915,1521.403539167122,28502.867104647332,460.14528199577154
0,0,1,0,1,0,0,2,67099.14268358507,1400000.5493042504,17.967768579598587,303.76792740530647,1357.8291407758259
0,0,1,0,1,0,0,2,31602.172900356927,2677.574694547184,1464.9918284089356,18498.055387986613,5520.311580758217
0,0,1,1,0,1,0,2,29697.554421570392,107302.36066010823,1521.2786937367653,224.34713865654925,957.0325445290432
1,0,0,0,0,1,0,2,6810.448555171677,107298.03351963898,4.41256292095993,302.4081558922112,240.44019789301944
1,1,1,0,1,0,0,0,67098.57820101145,3587.7055598845227,145.7565080271271,223.16164064383932,543.733661304251
1,0,0,0,0,0,0,2,686.3004446442314,198800.54878651607,842.3525460609591,98000.11810320905,68.40820580990055
0,1,1,0,0,1,0,2,170899.83270942577,2680.2895777511762,138.1696970999948,2507.716221029475,261.19878942520796
1,0,0,0,1,1,0,0,151999.75226127275,777000.869306219,113.26973539891361,44.281706705672946,238.50193828326076
0,1,1,0,0,1,0,2,179.15705654607837,26500.623775841887,686.0398627109691,48.79907278132612,-0.007249917851039678
1,1,0,0,1,1,0,0,8662.898558050101,45999.14694364041,94.04999743990513,15.892358806360074,543.0240546374787
0,1,1,0,0,1,0,2,8661.178111985279,8972.542373356877,2.9110360189575806,1788.077449482993,46.849467523372105
1,0,0,0,0,1,0,0,687.2665239803575,281503.44670448615,224.33565522675087,27301.026798167444,240.07279586591306
1,0,0,0,0,1,0,0,2907.813533765368,296899.71468345047,229.25753475776207,302.85773836381054,242.60941881776168
1,1,1,0,0,1,0,2,170898.62151245127,8971.910816578406,115.55631244092349,6270.086311920306,543.3157517991715
0,1,1,0,0,0,0,2,14401.871441908772,3590.575165025077,843.4379040011112,48.969124338458194,1360.135601617791
0,1,0,0,0,0,0,0,170897.68459678013,6105.63166224693,187.8706007475429,1551.4485855841303,6951.70553176359
0,0,1,0,0,0,2,2,2654.3368148952873,198800.68315026682,146.76374929299564,6135.927394143941,-1.035678198603133
1,1,1,0,1,0,0,0,688.2852861140955,1400001.5107388801,31.091928425031604,26.01746292854155,2507.5325881056747
1,1,0,0,1,0,1,1,2907.095477931485,303397.3271302559,114.47161809315536,729.364115164322,1.0381642342405037
1,0,1,0,0,0,0,2,67098.83302464102,107299.97232318229,187.92714256353852,45.383722651916344,46.89004198217976
1,0,0,0,0,1,0,2,126698.93309798905,67901.52752292217,226.03626640469324,836.935374534317,41.431802520982615
1,1,0,0,0,0,0,2,687.999776223782,718298.7972759838,92.70910364649201,8412.482285937005,48.74019791505263
0,0,1,1,0,0,0,2,687.7116922694155,6105.106904940973,64.37082170749036,303.307260484525,6952.316057764444
0,0,1,1,0,0,0,2,67101.24090043925,3588.30421269053,93.75529088812797,6269.001506146904,238.27603815997455
0,1,1,0,0,0,0,2,8659.634782432342,58099.962195859,415.8558121962294,48.046403591295984,460.13628368950714
0,1,1,0,0,1,0,2,201400.4892004433,281499.65805650793,190.2673324441114,42.58008981512696,67.05189422083983
0,0,1,0,0,0,2,2,29698.557024951162,923499.1939232837,111.80460606739548,28501.576501136293,240.29764732886082
1,1,1,0,0,0,0,2,688.6136711655893,58398.637203848615,22.351034296968223,302.5932185448753,242.10984722242824
1,1,0,0,1,1,0,0,14402.302365887703,8970.870042521965,113.05337111781581,41.94793686782144,544.011047033932
0,1,0,0,0,0,0,0,16000.019504808613,746102.6168834433,229.2462284308281,25100.96430899521,50.529914108767926
0,0,1,0,0,0,2,2,31601.00568246685,58400.45803680048,648.8081932411399,28497.436390805422,238.47154631146682
1,1,0,0,1,0,0,1,14401.222095768255,67900.05768241179,650.7188137720655,49.885277788276426,14499.679361626393
1,0,0,1,1,0,0,2,7371.213092804004,107301.75058391565,686.7988572725804,47.17310624126638,244.7811779410727
1,1,0,0,1,0,0,1,8663.310096763507,67898.55613580298,113.08341812170197,6135.943174119803,540.9193293770163
1,1,0,0,1,0,0,1,8994.560463021327,58100.92801744821,22.88941266470374,2824.202668431958,1.3217578431004595
1,0,0,0,0,0,0,2,31601.4954678002,1000001.4419042002,226.46031352730967,48.20850748022435,240.40780141248717
1,1,0,1,0,0,0,2,67097.52665608647,2680.0809688045147,226.52747931000624,299.36313243458125,1357.9472693145096
0,1,1,0,0,0,0,2,151998.1196859336,296901.3917786066,226.16178990111905,2506.325064932248,-1.4159107576610237
1,1,0,0,1,0,0,1,2904.8549891269117,303399.832135662,114.81570136049613,217.9325856306592,1358.8253265398905
1,0,0,1,1,0,0,2,2905.8029019501755,1400000.0534611694,65.9630202541374,505.05718132165293,50.1152629716471
1,1,0,0,1,0,1,1,14401.792115074137,203199.82623011552,9.213786719997374,2507.7779999552376,460.323586845829
0,1,1,0,1,1,0,2,685.9714443126111,58097.71237860547,224.3364941843039,8409.052230591642,70.01813256934142
1,1,0,0,0,0,0,2,181.1256544938079,1400001.7243624853,31.7827363586469,6267.558300378346,0.8817556022529145
1,1,1,0,0,1,0,2,170899.29360015097,718299.8228418633,146.53410419244136,6137.931631807002,14500.20032047987
1,1,1,0,0,0,0,2,2907.2603473904173,296898.95651146665,189.79032532121275,6268.350802314854,50.63381128044567
1,0,1,0,0,0,0,2,151999.5246446646,746102.316239343,18.759091015439484,6265.367690549227,68.70632131463572
0,1,1,0,0,1,0,2,688.6399188662689,8971.395858961945,23.38499275815601,42.183182228820435,956.3381381223542
1,1,0,1,0,0,0,2,687.2798512562322,281500.3813706182,65.15521120469317,28501.89580118034,240.97902099269436
1,1,0,0,1,0,2,1,7369.471884452752,8972.94913209379,226.0447792743161,43.1876680842266,239.56606147241052
1,0,0,0,0,1,0,2,35899.73329897358,3590.147519023102,348.5990073075752,1549.3474983205163,1.1385716415805163
1,0,0,0,0,1,0,2,2905.7564535600527,777002.2825133441,227.03610927388974,45.643082150643934,544.4948041785696
1,0,0,1,1,0,0,2,152001.14439102798,2681.1805114800845,115.69780205337648,222.47802475629302,6950.098459451176
0,0,1,0,0,0,2,2,8661.54467558698,923498.3212547303,96.81172785268933,41.81377464226354,543.9085592444901
0,0,1,0,0,0,0,2,35900.140612969924,776999.6548643349,31.906828072888707,1786.5766157011963,239.77060881738927
0,0,1,1,0,0,0,2,688.8798315499932,296899.5854361412,686.6759322084924,6136.803378132984,955.6128139321943
1,0,0,0,0,1,0,2,8663.568354905245,2678.9731546123667,1521.8199466963,2504.472448329159,-0.7360064929812065
1,1,1,0,1,0,0,0,201401.9930176183,45997.269396995755,113.4200373429673,26.845311704059924,241.55074223622447
1,1,0,1,0,0,0,2,686.179845559654,776999.7216148061,1332.0568806732708,834.6112192528246,0.030848088297058762
1,1,1,0,0,0,0,2,201400.63014012025,718299.9460484453,1522.0150032678996,28500.88281207402,243.443743252402
1,1,0,0,1,0,2,1,201400.68753392986,107300.43580277507,24.588242312104043,837.703933283419,237.3150493253318
1,0,0,0,0,0,0,1,2906.885911007313,26501.91714692938,67.09162869519771,729.1475057136157,6952.154475233394
1,0,0,0,1,1,0,0,686.533351305638,2681.366126849806,223.97445742311527,48.92984586363613,334.6942188721126
0,1,1,0,0,1,0,2,31602.051365302268,2681.010933269227,114.07833172157672,6137.746184751529,69.21678318885323
1,1,1,0,1,0,0,0,31601.886775795843,3590.368549370752,226.52665907239924,1788.003169556247,14400.750633321872
1,0,0,0,0,0,0,1,31600.187974175908,107299.10024864702,686.1248294857199,1550.7769782822002,458.67434481147546
1,1,1,0,0,0,0,2,15999.164190688125,8973.149119097103,115.82061663925361,46.52952621262157,2046.145711585143
0,0,1,0,0,0,0,2,14400.980054783118,58100.397520406084,116.64558067243276,222.33866491185097,44.31194150963355
1,0,0,0,0,0,0,2,201398.58208538752,107297.90289913409,223.18164802141717,223.8758390010981,6954.006914606253
1,0,0,0,0,1,0,2,31602.430064377364,2680.122437308539,23.219504362910392,2506.728970708047,70.23526789451907
0,0,1,1,0,1,0,2,177.7695115970399,58401.298248719366,1464.6718769930028,302.27982904226053,45.83405529075021
1,1,0,0,1,0,2,1,4644.967162096944,58401.06947350875,113.29721343469214,728.6160876873837,9560.29168498187
1,0,0,0,1,1,0,0,31598.1279177054,3399999.01691383,226.123805268999,6136.573754637425,67.58100599229836
0,0,1,1,0,1,0,2,126702.32303479366,1000001.3749423932,842.3649824192817,6270.2034168287355,1360.9293352649402
0,0,1,0,0,0,2,2,29698.715218683665,776999.4497445972,684.8121936395522,42.80296272847172,14402.090462180167
0,0,1,0,0,0,0,2,2909.2567722917775,8972.071902484195,137.24280793072154,6135.709722214617,333.30111065345
1,0,0,0,0,0,0,2,2907.912156770888,776998.2144453981,1332.7784491825055,28494.97496130708,50.52226127115797
1,1,0,0,1,0,1,1,110000.48798615528,26500.61204167596,114.23448721689222,2506.324135418381,14401.461871551182
0,0,1,0,0,0,0,2,201402.00136914305,46000.54717324551,94.12738383401518,5864.785890455234,540.8372030901799
0,0,1,0,1,0,0,2,198799.17899421166,296899.0790378506,94.69393182012173,28497.214924442516,333.43086326405535
0,1,1,0,0,0,0,2,687.9111009622924,296897.81767252367,1519.9677908385684,45.289723212653094,2509.2376806153798
1,1,0,0,1,1,0,0,67102.17376099974,107297.53480773968,113.7010537436918,6134.209479346936,49.47034727718931
0,0,1,1,0,0,0,2,67097.1548855812,1000004.3987664006,1518.7808173157778,45.88974553909378,335.9585353278466
0,0,1,0,0,0,0,2,67099.40170443838,45997.60219007073,649.5173034615555,5863.623894905409,486.0717730572785
1,0,0,0,1,1,0,0,2909.974482804034,26499.915872664136,650.5069770975704,48.385668829743246,14401.878292826448
0,0,1,0,1,0,0,2,687.8597647039153,45998.62690025618,1519.806005443661,222.55286469142845,5520.743474502903
1,1,0,0,1,0,1,1,201398.6757951439,923499.209900869,188.77909477627617,1551.4646583902038,956.3300174162512
0,1,1,0,1,1,0,2,4644.409220945209,26501.075289252232,10.443801161666324,98001.04277691661,457.9229686025676
1,0,1,0,0,0,0,2,15999.301421979668,107301.67435194434,1332.9647164624496,48.532455751791275,14501.014308362295
1,1,0,0,1,0,2,1,170897.77094551412,107299.67987916603,10.768949702241732,46.65996010376966,5036.52653092553
0,0,1,0,0,0,2,2,181.1980874423255,58101.483799012865,1332.8444737750167,3675.553914194568,1361.4348508180033
1,0,0,0,0,0,0,1,685.6513347278118,198797.5623481719,226.30856562315267,98002.60575789532,459.10208647663893
1,1,0,0,1,0,1,1,684.5424584665951,777003.4722580542,225.744275861533,222.8470132038092,53.720915691445256
1,1,0,0,1,1,0,0,687.1345598753456,45998.27664558149,115.01170902007784,27300.738725565567,7.3321988356738075
1,0,1,0,0,0,0,2,6809.502019761091,776999.3055370288,223.6275393965309,298.68737972698517,69.8079286779301
1,1,0,0,1,0,1,1,67097.13127093275,58400.35663782588,227.4852595221025,25099.83482364298,239.85672685496016
0,0,1,1,0,1,0,2,688.7691928619654,107298.6400605733,116.71625466971784,28500.129422641035,2047.650736599021
1,1,0,0,1,0,2,1,2905.671002113589,3588.3379614028245,112.77000274657573,2508.219061306715,71.0161690329052
1,0,0,0,0,1,0,0,2653.9340868437826,45999.372264828526,1465.245495407433,223.4651133338717,46.2857194969426
1,1,0,1,0,0,0,2,687.9135153352881,26500.209563994213,145.7701804987978,301.04638796375525,238.39632647318123
1,1,0,0,1,1,0,0,4645.960517808479,999999.9242744966,844.1062686416918,97999.56244761712,68.83454233426885
0,1,1,0,0,1,0,2,8658.830844229768,107299.54147096297,224.67462288670478,220.50234361572512,6948.609073812772
1,0,1,0,0,0,0,2,16000.288270391802,26496.976743623232,146.78353472458267,6269.113460592653,236.88949139312683
0,0,1,0,0,0,2,2,4644.147136675335,923499.2000612266,1523.3371438786282,46.59598179958869,51.03450102375363
1,1,0,0,1,0,1,1,15997.841864918546,1000000.7148945133,5.296159850996429,1551.204166916029,200.8077497460243
0,0,1,0,1,0,0,2,14402.557696738078,2680.774266584902,843.63864671687,2508.793736504849,6951.160437771648
1,0,0,1,1,0,0,2,4646.988494242005,296899.28591480874,21.946152982015143,301.0539204007351,238.0308143302364
1,1,1,0,0,1,0,2,8663.14619557078,107299.03055144977,1519.7435126272494,222.8748400482958,956.4607704497109
1,1,0,0,1,1,0,2,686.8772416521923,46000.11633939938,98.18105217235507,48.62678264441075,68.9942811407176
0,1,0,0,0,0,0,0,14400.874713674364,2677.5963635759085,1517.1695313328514,45.59648109495994,261.0261321688938
0,0,1,1,0,1,0,2,31600.841569564567,26503.284384668405,93.7690654061075,49.047996468936766,460.3266692099053
1,1,1,0,1,0,0,0,689.051618160284,45997.62836445012,1520.8060425303972,42.518231905027484,47.466833871426864
0,0,1,1,0,0,0,2,39101.80517006402,107298.64250335823,686.7598866848721,2506.392429434164,6952.083053340773
1,1,0,0,1,0,1,1,151999.29622640836,45998.946609382336,650.99889307024,6268.556057358202,332.32863329050224
0,1,1,0,0,1,0,2,201401.68771767395,143297.98774125794,684.7915348690187,301.1900621910627,237.58050051595748
1,1,1,0,0,0,0,2,29697.728486442185,1400000.7714550314,1331.901995710605,28498.26420291357,47.31702415092926
0,1,0,0,0,0,0,0,2909.530983629695,281498.6566053688,416.0174269923263,2505.6434104641176,200.44124114722678
0,0,1,0,0,0,2,2,170899.11240014076,26498.5497606157,113.81538452816913,6136.369833301098,5036.841674352464
1,0,0,0,0,1,0,0,67098.72564342144,8972.198318611256,3.5997111097113437,45.48975954796422,485.99455293657223
0,1,1,0,0,1,0,2,14402.684938116194,718300.3788992988,191.51350941238985,49.15356269490015,6949.483662070509
